TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,DATASET,COMPETENCIA_500
126,1,3.0,1.0,127.42,13,25.69107,-100.21261,2.0,1.0,TRAIN,22
681,1,4.0,1.0,128.13,13,25.73571,-100.18086,2.0,1.0,TRAIN,16
117,1,4.0,0.0,87.62,11,25.71883,-100.19133,2.0,1.0,TRAIN,32
682,1,4.0,1.0,90.7,13,25.66952,-100.20744,2.0,1.0,TRAIN,35
275,1,4.0,1.0,95.3,13,25.73766,-100.16116,2.0,1.0,TRAIN,19
684,1,4.0,0.0,116.07,13,25.70486,-100.15613,3.0,2.0,TRAIN,20
694,1,4.0,3.0,78.48,13,25.67955,-100.24328,3.0,3.0,TRAIN,15
272,1,4.0,1.0,100.58,12,25.70058,-100.2018,2.0,1.0,TRAIN,12
702,1,4.0,1.0,73.24,13,25.67344,-100.26084,2.0,1.0,TRAIN,26
704,1,4.0,0.0,107.23,13,25.68419,-100.22138,2.0,4.0,TRAIN,31
125,1,3.0,1.0,141.9,10,25.69017,-100.25164,1.0,4.0,TRAIN,5
279,1,4.0,1.0,104.2,13,25.67484,-100.24412,2.0,1.0,TRAIN,11
127,1,3.0,1.0,132.0,12,25.66474,-100.20913,2.0,2.0,TRAIN,41
706,1,4.0,1.0,120.87,13,25.73785,-100.20217,2.0,1.0,TRAIN,7
129,1,3.0,0.0,83.99,13,25.6808,-100.24372,2.0,4.0,TRAIN,14
268,1,4.0,0.0,121.2,13,25.69481,-100.23052,1.0,2.0,TRAIN,6
131,1,3.0,1.0,99.65,12,25.64911,-100.26649,1.0,1.0,TRAIN,6
716,1,4.0,1.0,121.21,13,25.7105,-100.21547,2.0,1.0,TRAIN,18
722,1,4.0,0.0,118.3,13,25.69569,-100.24609,3.0,4.0,TRAIN,10
726,1,4.0,1.0,113.96,13,25.72278,-100.15421,2.0,1.0,TRAIN,9
135,1,3.0,1.0,124.5,12,25.69272,-100.25433,1.0,1.0,TRAIN,9
663,1,4.0,0.0,115.76,13,25.71882,-100.16863,2.0,4.0,TRAIN,19
639,1,4.0,1.0,113.85,13,25.71143,-100.15224,2.0,1.0,TRAIN,40
