TIENDA_ID,MES_ID,VENTA_TOTAL,ENTORNO_DES,Meta_venta
813,202404,1042761.16,Hogar,490000
742,202404,604946.96,Base,480000
436,202404,2486787.81,Hogar,490000
732,202404,680701.78,Hogar,490000
282,202404,1227768.82,Receso,516000
704,202404,1052094.97,Base,480000
366,202404,989711.94,Hogar,490000
969,202404,886107.59,Receso,516000
983,202404,1084308.39,Hogar,490000
979,202404,1055111.2,Hogar,490000
363,202404,1149534.98,Hogar,490000
999,202404,846293.02,Receso,516000
208,202404,1299321.37,Base,480000
250,202404,2019799.45,Hogar,490000
48,202404,1102625.89,Hogar,490000
498,202404,750797.4,Base,480000
669,202404,1464887.56,Base,480000
707,202404,1135168.38,Hogar,490000
789,202404,805440.86,Hogar,490000
168,202404,1314623.03,Receso,516000
539,202404,1398000.78,Base,480000
970,202404,959735.17,Peatonal,420000
133,202404,1150949.37,Receso,516000
589,202404,1233801.88,Hogar,490000
399,202404,885972.48,Hogar,490000
197,202404,1051474.7,Base,480000
131,202404,930617.22,Hogar,490000
92,202404,1727776.39,Receso,516000
451,202404,770497.16,Base,480000
557,202404,1513854.08,Hogar,490000
988,202404,1531047.72,Hogar,490000
452,202404,869599.47,Base,480000
400,202404,831299.01,Hogar,490000
817,202404,769182.56,Receso,516000
1038,202404,946015.78,Hogar,490000
450,202404,1208747.34,Hogar,490000
662,202404,1858795.84,Receso,516000
814,202404,1625847.68,Receso,516000
71,202404,667738.25,Base,480000
839,202404,960937.26,Peatonal,420000
445,202404,1823109.38,Base,480000
287,202404,2324462.64,Base,480000
249,202405,1687745.48,Base,480000
774,202405,1370903.48,Receso,516000
380,202405,1178024.41,Base,480000
316,202405,2231681.58,Base,480000
597,202405,1341724.66,Hogar,490000
284,202405,3342613.11,Receso,516000
241,202405,1139751.18,Receso,516000
702,202405,1175130.66,Hogar,490000
916,202405,3424863.18,Receso,516000
894,202405,1647546.36,Hogar,490000
647,202405,1380019.1,Hogar,490000
858,202405,333479.52,Receso,516000
204,202405,2939543.98,Base,480000
59,202412,386768.03,Base,480000
250,202412,765178.84,Hogar,490000
366,202412,420136.66,Hogar,490000
796,202412,320766.1,Base,480000
872,202412,230237.36,Hogar,490000
1047,202411,1350341.4,Hogar,490000
1000,202411,1001791.14,Hogar,490000
210,202412,783031.99,Base,480000
649,202411,678876.63,Hogar,490000
317,202404,1330124.21,Hogar,490000
744,202404,654218.9,Receso,516000
548,202404,1150010.15,Base,480000
350,202404,1538918.71,Receso,516000
217,202404,1284279.7,Hogar,490000
409,202404,847674.78,Hogar,490000
778,202404,1165748.54,Base,480000
334,202404,1668777.35,Receso,516000
469,202404,998179.87,Base,480000
1018,202404,1602447.33,Hogar,490000
254,202404,1011039.38,Hogar,490000
339,202404,1483649.75,Peatonal,420000
218,202404,2419863.55,Hogar,490000
166,202404,1090081.05,Hogar,490000
466,202404,444209.96,Hogar,490000
646,202404,524288.39,Hogar,490000
771,202404,962292.49,Hogar,490000
52,202404,739476.61,Base,480000
