ID,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202411,202412,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA
1.0,748595.53,155325.03,475459.96,697411.28,779274.5,853168.73,857231.49,801099.34,914195.93,765040.92,598655.41,713569.96,739971.54,615848.14,734269.69,731363.24,919614.5,875389.21,837783.48,710822.06,344489.01,2.0,C,Hogar,0.0,0.0,0.0,26.00177,-98.24284,Hogar Reunion,UT_DENSIDAD
2.0,729203.78,702849.63,808482.52,797786.16,872478.7,954589.56,923898.95,906241.37,981210.96,890527.05,875175.97,947925.16,948089.77,810243.42,959372.49,978336.28,1140719.77,1083879.45,1085740.35,1009469.21,482736.19,2.0,C,Hogar,0.0,0.0,0.0,26.04198,-98.3562,Hogar Reunion,UT_DENSIDAD
3.0,657141.17,605517.81,755300.68,634715.83,682516.56,846276.14,840449.07,840699.23,952603.0,807286.79,704496.74,864281.47,875228.45,770080.41,911860.17,866457.73,1107760.0,1106569.47,1086908.61,1003146.3,457933.59,2.0,C,Hogar,0.0,0.0,0.0,26.02464,-98.26098,Hogar Reunion,UT_DENSIDAD
4.0,1088717.62,1040425.98,1136516.53,1249876.57,1253613.07,1414363.76,1434354.18,1304814.77,1286361.63,1156293.32,1096348.23,1305319.27,1237898.61,1097120.79,1284896.74,1289293.94,1592000.84,1477218.13,1509611.7,1372968.07,566760.26,2.0,A,Hogar,0.0,0.0,0.0,26.04326,-98.23851,Hogar Reunion,UT_DENSIDAD
5.0,1381033.15,1262154.25,1478414.23,1541199.79,1626305.44,1732605.14,1715405.92,1675093.57,1788043.05,1595849.72,1508769.78,1727566.05,1628417.71,1415936.34,1693129.22,1708749.33,2004008.03,1864158.91,1839386.54,1566312.2,769058.2,2.0,C,Hogar,0.0,0.0,0.0,26.06397,-98.26165,Hogar Reunion,UT_DENSIDAD
6.0,563471.59,528673.56,581093.23,627341.29,657179.32,706871.94,696131.6,646251.67,711451.62,635643.78,584047.43,669952.38,670117.8,549597.87,664241.73,685811.45,901450.23,847171.53,799826.35,713226.55,347584.15,2.0,C,Hogar,0.0,0.0,0.0,26.02745,-98.35609,Hogar Reunion,UT_DENSIDAD
7.0,786649.59,706726.26,839291.44,899954.88,940253.71,942275.14,991954.01,935328.62,1049884.11,899853.12,874273.81,940907.22,914446.82,794396.2,918317.38,899385.13,1031178.64,1005535.82,968020.36,893116.65,396541.34,2.0,C,Hogar,0.0,0.0,0.0,26.08957,-98.33238,Hogar Reunion,UT_DENSIDAD
8.0,713967.39,701578.9,833822.69,824287.22,898382.67,971592.03,1093785.37,1075901.93,1083767.47,1001714.01,942947.6,1040781.32,948525.45,923512.35,1002880.49,1000639.1,1153178.03,1070384.17,1082796.57,1004713.86,459950.68,2.0,C,Base,0.0,0.0,0.0,26.04768,-98.2894,Hogar Reunion,UT_TRAFICO_VEHICULAR
9.0,1268721.49,1179371.56,1437527.5,1483184.01,1577998.82,1616557.45,1631804.01,1579204.91,1667963.73,1440531.06,1353619.75,1557357.18,1535513.05,1231613.14,1359957.13,1366557.8,1683921.27,1524811.98,1540376.17,1384903.84,672884.15,2.0,C,Hogar,0.0,0.0,0.0,26.01405,-98.39384,Hogar Reunion,UT_DENSIDAD
11.0,519210.89,180167.22,92265.46,393745.94,521131.68,555240.92,587077.97,581324.74,794824.95,592362.39,571622.62,641163.87,815225.02,587027.48,700539.36,777941.56,973856.48,828072.66,817536.04,743161.27,275718.67,2.0,C,Hogar,0.0,0.0,0.0,26.00828,-98.40705,Hogar Reunion,UT_DENSIDAD
12.0,821976.22,734356.89,860544.88,939328.32,977778.44,1041851.22,1075362.18,1040375.5,1170728.25,972879.52,868546.93,996400.99,1028894.8,869401.69,992250.41,926324.9,1173819.86,1090542.44,1122162.74,874240.96,376549.23,2.0,C,Hogar,0.0,0.0,0.0,25.99668,-98.26116,Hogar Reunion,UT_DENSIDAD
13.0,787581.63,767347.04,923379.37,964274.42,1036925.16,1156916.32,1186512.04,1093415.67,1230711.03,1056752.42,1056953.9,1196954.76,1209288.26,1013642.89,1096071.44,1197092.32,1421070.3,1304357.61,1335820.0,1223896.31,540728.19,2.0,C,Base,0.0,0.0,0.0,25.98686,-98.09433,Oficinistas,UT_TRAFICO_VEHICULAR
14.0,761334.67,706037.48,837889.87,887448.65,945081.25,1113769.88,1081504.57,1000711.91,1074854.01,943382.89,874515.79,1089392.4,991191.5,926770.15,1145507.41,1094926.3,1332750.88,1329546.28,1357595.8,1176007.75,539770.15,2.0,C,Receso,0.0,0.0,0.0,26.21178,-98.5901,Parada Tecnica,UT_CARRETERA_GAS
15.0,285209.95,357601.94,456596.18,490029.7,537358.74,652246.13,659332.42,716468.56,705445.19,567589.72,544213.86,502259.98,507225.56,478752.66,573421.99,548025.02,657541.17,647982.59,655756.8,514721.6,223343.73,2.0,C,Receso,0.0,0.0,0.0,26.04645,-98.32298,Hogar Reunion,UT_CARRETERA_GAS
16.0,697681.1,758137.48,911911.8,1001935.63,995501.34,1102821.07,1096994.44,1046668.99,1309754.12,930270.28,914102.16,1089008.85,1328523.51,877902.73,1030912.24,1140119.52,1372365.57,1168145.84,1126682.65,936097.44,383641.15,2.0,C,Hogar,0.0,0.0,0.0,26.02393,-98.34394,Hogar Reunion,UT_DENSIDAD
17.0,423703.99,464125.38,673110.01,659605.65,727357.0,777714.23,800059.98,769057.55,935106.84,778288.82,779440.32,787111.43,719176.98,695537.57,723708.25,738659.03,842487.7,765602.61,827732.55,731345.12,307142.51,2.0,C,Base,0.0,0.0,0.0,26.05687,-98.36383,Parada Tecnica,UT_TRAFICO_VEHICULAR
18.0,689114.81,757284.11,982910.7,1071398.13,1127892.37,1188699.93,1357541.85,1340120.24,1429234.99,1206452.23,1154439.01,1368281.45,1237839.32,1123357.0,1353378.16,1594888.58,1449829.88,1361472.65,1402270.25,1304733.21,630952.96,2.0,C,Hogar,0.0,0.0,0.0,26.05197,-98.28736,Hogar Reunion,UT_DENSIDAD
19.0,273286.22,262711.11,349337.52,360960.15,390891.64,442838.53,505133.3,480501.57,533519.58,437235.09,413532.23,510715.93,450302.66,438428.82,508184.5,489707.05,583870.4,587137.28,587845.19,592995.28,297955.97,2.0,C,Hogar,0.0,0.0,0.0,25.9944,-98.11901,Hogar Reunion,UT_DENSIDAD
21.0,1039350.08,1013901.14,1090815.85,1108442.5,1169675.27,1314311.14,1349373.2,1341043.9,1367659.96,1155754.94,1037963.12,1215611.67,1308336.02,1133415.9,1287665.77,1293510.09,1471822.67,1354126.81,1326350.38,1196269.05,546985.49,6.0,CD,Hogar,99.0,9.0,0.0,25.18824,-99.80819,Barrio Competido,UT_DENSIDAD
22.0,735906.74,757581.23,858702.74,828502.78,868027.01,918312.88,936056.93,1047622.95,1203218.71,972029.66,859748.0,946857.11,906224.93,887663.05,1017865.91,978182.7,1109188.52,1000879.48,1026862.27,889143.73,415612.58,6.0,C,Hogar,78.0,10.0,0.0,25.57557,-99.98963,Hogar Reunion,UT_TRAFICO_VEHICULAR
23.0,802937.37,806491.54,916741.24,844505.26,904172.45,964103.27,952112.3,1020834.62,1043843.63,892040.5,778850.89,803207.38,818544.77,819796.43,972975.26,921052.21,1135470.32,974522.31,1006866.04,899353.33,387128.57,6.0,C,Receso,95.0,10.0,0.0,24.88103,-99.58133,Oficinistas,UT_TRAFICO_PEATONAL
24.0,544685.85,500078.8,559641.27,587179.12,614193.31,653410.32,653508.14,727998.34,775054.53,594010.37,591039.15,714196.53,724207.61,734038.98,748635.5,698411.85,798602.88,691566.93,674051.5,719998.82,329683.24,6.0,BC,Receso,93.0,10.0,0.0,25.18881,-99.82257,Clasico,UT_TRAFICO_VEHICULAR
25.0,1019649.41,1030363.8,1168729.22,1311439.83,1298720.99,1552572.89,1784095.73,1466948.58,1438155.67,1214836.11,1067424.27,1147480.74,910772.26,45072.36,336816.8,960997.22,1296274.13,1154108.52,1187922.48,1001548.24,448823.15,6.0,C,Base,95.0,10.0,0.0,25.18958,-99.85066,Parada Tecnica,UT_TRAFICO_VEHICULAR
26.0,848663.93,769781.52,768564.38,803488.58,819423.71,935705.88,1023398.56,964856.4,949218.65,840082.4,697740.33,850233.2,766624.18,740907.48,885999.73,863813.3,1005581.89,842229.94,883671.84,797384.27,384449.92,6.0,C,Base,89.0,10.0,0.0,24.86496,-99.56645,Parada Tecnica,UT_TRAFICO_VEHICULAR
27.0,767535.94,744206.61,850664.48,860616.16,738667.82,49439.41,7584.45,592304.93,872267.02,786335.16,747298.32,839837.71,784079.16,735752.42,871643.46,867693.02,997394.62,921238.04,939169.15,826631.96,369499.25,6.0,C,Base,101.0,10.0,0.0,25.18924,-99.8317,Hogar Reunion,UT_TRAFICO_VEHICULAR
28.0,763483.62,735928.77,839917.06,848046.66,893272.87,988597.19,1029567.98,1060314.13,1098869.78,911115.3,830396.65,938696.52,964695.03,826091.89,962339.49,943637.88,1121121.85,1014024.05,1013319.73,915200.13,434895.62,6.0,CD,Hogar,108.0,10.0,0.0,25.57477,-99.97964,Hogar Reunion,UT_DENSIDAD
29.0,712569.29,736228.35,798447.68,817007.81,97907.58,26.9,344373.36,778436.79,469595.31,505384.77,541247.09,619031.58,705456.04,779035.32,878187.46,826450.39,770240.06,652404.4,628229.15,672423.26,294367.48,6.0,C,Receso,95.0,10.0,0.0,25.19407,-99.83954,Oficinistas,UT_DENSIDAD
31.0,1377816.7,1228056.0,1399020.59,1573869.79,1550743.83,1609236.49,1725618.14,1638853.22,1764218.17,1516257.0,1350505.32,1686875.76,1487319.71,75072.33,194806.61,1212756.64,1570727.73,1491090.56,1572984.96,1325925.07,618198.66,6.0,C,Hogar,112.0,9.0,0.0,25.29708,-100.02935,Hogar Reunion,UT_DENSIDAD
