ID,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,Ir,NIVELSOCIOECONOMICO_DES_A,NIVELSOCIOECONOMICO_DES_AB,NIVELSOCIOECONOMICO_DES_B,NIVELSOCIOECONOMICO_DES_BC,NIVELSOCIOECONOMICO_DES_C,NIVELSOCIOECONOMICO_DES_CD,NIVELSOCIOECONOMICO_DES_D,ENTORNO_DES_Base,ENTORNO_DES_Hogar,ENTORNO_DES_Peatonal,ENTORNO_DES_Receso,SEGMENTO_MAESTRO_DESC_Barrio Competido,SEGMENTO_MAESTRO_DESC_Clasico,SEGMENTO_MAESTRO_DESC_Hogar Reunion,SEGMENTO_MAESTRO_DESC_Oficinistas,SEGMENTO_MAESTRO_DESC_Parada Tecnica,LID_UBICACION_TIENDA_UT_CARRETERA_GAS,LID_UBICACION_TIENDA_UT_DENSIDAD,LID_UBICACION_TIENDA_UT_GAS_URBANA,LID_UBICACION_TIENDA_UT_TRAFICO_PEATONAL,LID_UBICACION_TIENDA_UT_TRAFICO_VEHICULAR,PLAZA_CVE_1.0,PLAZA_CVE_2.0,PLAZA_CVE_3.0,PLAZA_CVE_4.0,PLAZA_CVE_5.0,PLAZA_CVE_6.0
1.0,0.0,0.0,0.0,26.00177,-98.24284,0.2533000000000002,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
2.0,0.0,0.0,0.0,26.04198,-98.3562,0.9503999999999962,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
3.0,0.0,0.0,0.0,26.02464,-98.26098,0.8513000000000011,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
4.0,0.0,0.0,0.0,26.04326,-98.23851,0.9503999999999962,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
5.0,0.0,0.0,0.0,26.06397,-98.26165,1.0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
6.0,0.0,0.0,0.0,26.02745,-98.35609,0.09159999999999943,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
7.0,0.0,0.0,0.0,26.08957,-98.33238,0.9503999999999962,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
8.0,0.0,0.0,0.0,26.04768,-98.2894,0.9503999999999962,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
9.0,0.0,0.0,0.0,26.01405,-98.39384,1.0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
11.0,0.0,0.0,0.0,26.00828,-98.40705,0.009199999999999995,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
12.0,0.0,0.0,0.0,25.99668,-98.26116,0.9503999999999962,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
13.0,0.0,0.0,0.0,25.98686,-98.09433,0.9503999999999962,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
14.0,0.0,0.0,0.0,26.21178,-98.5901,0.9503999999999962,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
15.0,0.0,0.0,0.0,26.04645,-98.32298,0.0,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
16.0,0.0,0.0,0.0,26.02393,-98.34394,0.9503999999999962,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
17.0,0.0,0.0,0.0,26.05687,-98.36383,0.3540999999999995,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
18.0,0.0,0.0,0.0,26.05197,-98.28736,0.9503999999999962,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
19.0,0.0,0.0,0.0,25.9944,-98.11901,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
21.0,99.0,9.0,0.0,25.18824,-99.80819,0.9503999999999962,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
22.0,78.0,10.0,0.0,25.57557,-99.98963,0.9503999999999962,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
23.0,95.0,10.0,0.0,24.88103,-99.58133,0.9503999999999962,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
24.0,93.0,10.0,0.0,25.18881,-99.82257,0.04999999999999992,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
25.0,95.0,10.0,0.0,25.18958,-99.85066,0.8481000000000003,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
26.0,89.0,10.0,0.0,24.86496,-99.56645,0.9503999999999962,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
27.0,101.0,10.0,0.0,25.18924,-99.8317,0.7491000000000001,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
28.0,108.0,10.0,0.0,25.57477,-99.97964,0.9503999999999962,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
29.0,95.0,10.0,0.0,25.19407,-99.83954,0.012250000000000039,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
31.0,112.0,9.0,0.0,25.29708,-100.02935,0.8481000000000003,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
32.0,83.92,9.0,0.0,25.66615,-100.13315,0.11264999999999906,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
33.0,123.53,10.0,5.0,25.25546,-99.68657,0.9013999999999982,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
34.0,116.0,10.0,0.0,25.28155,-100.0205,0.9503999999999962,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
35.0,96.0,10.0,0.0,24.8626,-99.57939,0.1550999999999986,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
36.0,109.93,12.0,5.0,25.1755,-99.83795,0.9503999999999962,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
37.0,109.93,12.0,0.0,25.61395,-100.17367,0.012050000000000017,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
38.0,105.05,12.0,12.0,25.6076,-99.64965,0.0876499999999994,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
39.0,91.34,12.0,7.0,25.71129,-99.25392,0.11309999999999909,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
