ID,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,NIVELSOCIOECONOMICO_DES_A,NIVELSOCIOECONOMICO_DES_AB,NIVELSOCIOECONOMICO_DES_B,NIVELSOCIOECONOMICO_DES_BC,NIVELSOCIOECONOMICO_DES_C,NIVELSOCIOECONOMICO_DES_CD,NIVELSOCIOECONOMICO_DES_D,ENTORNO_DES_Base,ENTORNO_DES_Hogar,ENTORNO_DES_Peatonal,ENTORNO_DES_Receso,SEGMENTO_MAESTRO_DESC_Barrio Competido,SEGMENTO_MAESTRO_DESC_Clasico,SEGMENTO_MAESTRO_DESC_Hogar Reunion,SEGMENTO_MAESTRO_DESC_Oficinistas,SEGMENTO_MAESTRO_DESC_Parada Tecnica,LID_UBICACION_TIENDA_UT_CARRETERA_GAS,LID_UBICACION_TIENDA_UT_DENSIDAD,LID_UBICACION_TIENDA_UT_GAS_URBANA,LID_UBICACION_TIENDA_UT_TRAFICO_PEATONAL,LID_UBICACION_TIENDA_UT_TRAFICO_VEHICULAR,PLAZA_CVE_1.0,PLAZA_CVE_2.0,PLAZA_CVE_3.0,PLAZA_CVE_4.0,PLAZA_CVE_5.0,PLAZA_CVE_6.0,Retble,dist_vecino
1.0,0.0,0.0,0.0,26.00177,-98.24284,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,No rentable,0.004569999960700775
2.0,0.0,0.0,0.0,26.04198,-98.3562,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,Rentable,0.003637169313484873
3.0,0.0,0.0,0.0,26.02464,-98.26098,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,Rentable,0.007787849631394212
4.0,0.0,0.0,0.0,26.04326,-98.23851,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,Rentable,0.013436416912881697
5.0,0.0,0.0,0.0,26.06397,-98.26165,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,Rentable,0.005796154137292121
6.0,0.0,0.0,0.0,26.02745,-98.35609,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,No rentable,0.005215525124425093
7.0,0.0,0.0,0.0,26.08957,-98.33238,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,Rentable,0.004898418320635102
8.0,0.0,0.0,0.0,26.04768,-98.2894,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,Rentable,0.004750337065762067
9.0,0.0,0.0,0.0,26.01405,-98.39384,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,Rentable,0.011646772255768907
11.0,0.0,0.0,0.0,26.00828,-98.40705,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,No rentable,0.014415165634061053
12.0,0.0,0.0,0.0,25.99668,-98.26116,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,Rentable,0.004470346908569101
13.0,0.0,0.0,0.0,25.98686,-98.09433,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,Rentable,0.005037955878324599
14.0,0.0,0.0,0.0,26.21178,-98.5901,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,Rentable,0.023060002141058775
15.0,0.0,0.0,0.0,26.04645,-98.32298,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,No rentable,0.004257158566323615
16.0,0.0,0.0,0.0,26.02393,-98.34394,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,Rentable,0.008342865126263756
17.0,0.0,0.0,0.0,26.05687,-98.36383,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,No rentable,0.010614895187622625
18.0,0.0,0.0,0.0,26.05197,-98.28736,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,Rentable,0.003897819884724351
19.0,0.0,0.0,0.0,25.9944,-98.11901,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,No rentable,0.005555186865051913
21.0,99.0,9.0,0.0,25.18824,-99.80819,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,Rentable,0.007842964931044161
22.0,78.0,10.0,0.0,25.57557,-99.98963,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,Rentable,0.008390661419746363
23.0,95.0,10.0,0.0,24.88103,-99.58133,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,Rentable,0.004600532612390842
24.0,93.0,10.0,0.0,25.18881,-99.82257,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,No rentable,0.0018801064520804086
25.0,95.0,10.0,0.0,25.18958,-99.85066,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,Rentable,0.01096675440435262
26.0,89.0,10.0,0.0,24.86496,-99.56645,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,Rentable,0.004190715803613408
27.0,101.0,10.0,0.0,25.18924,-99.8317,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,Rentable,0.003131293733481391
28.0,108.0,10.0,0.0,25.57477,-99.97964,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,Rentable,0.006622537211437986
29.0,95.0,10.0,0.0,25.19407,-99.83954,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,No rentable,0.0005922847300250414
31.0,112.0,9.0,0.0,25.29708,-100.02935,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,Rentable,0.005458287279228251
32.0,83.92,9.0,0.0,25.66615,-100.13315,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,No rentable,0.0031174669633631732
33.0,123.53,10.0,5.0,25.25546,-99.68657,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,Rentable,0.01605936800546808
34.0,116.0,10.0,0.0,25.28155,-100.0205,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,Rentable,0.003099629029691363
35.0,96.0,10.0,0.0,24.8626,-99.57939,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,No rentable,0.004716068088053478
36.0,109.93,12.0,5.0,25.1755,-99.83795,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,Rentable,0.00628623900479195
37.0,109.93,12.0,0.0,25.61395,-100.17367,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,No rentable,0.0023286262431806825
38.0,105.05,12.0,12.0,25.6076,-99.64965,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,No rentable,0.03255641254369163
39.0,91.34,12.0,7.0,25.71129,-99.25392,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,No rentable,0.01813022339510525
41.0,83.13,12.0,4.0,25.45995,-99.99653,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,Rentable,0.08239928701593704
42.0,92.84,12.0,7.0,25.57826,-100.02549,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,No rentable,0.005352280087733861
43.0,0.0,12.0,0.0,25.61009,-100.15445,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,No rentable,0.0028715328455340017
44.0,93.28,12.0,9.0,25.61295,-100.15086,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,Rentable,0.004220189343919063
45.0,95.22,14.0,7.0,25.60885,-100.15186,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,Rentable,0.0028715328455340017
46.0,106.51,12.0,11.0,25.58484,-99.98952,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,Rentable,0.0039223716858891675
47.0,79.57,12.0,6.0,24.86497,-99.561,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,Rentable,0.003845842060523747
48.0,99.74,12.0,6.0,25.19349,-99.83942,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,Rentable,0.0005922847300250414
49.0,109.0,10.0,0.0,25.39686,-100.13477,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,Rentable,0.005483356800870271
51.0,110.27,12.0,6.0,24.85599,-99.53781,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,Rentable,0.007829080436628555
52.0,104.08,12.0,6.0,25.65314,-100.1115,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,Rentable,0.004678226200077931
