TIENDA_ID,VENTA_TOTAL,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,Meta_venta,Above_Goal,Percentage_of_Goal,POBLACION,COMPETIDORES_NUM,ESCUELAS_NUM,HOSPITALES_NUM
126,9.827529068421052,1,BC,Hogar,127.42,13,7,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,4.9,1,200.5618177228786,3,4,1,0
681,9.019971085,1,C,Hogar,128.13,13,0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,4.9,1,184.0810425510204,5,0,0,0
117,4.945149431578948,1,C,Base,87.62,11,11,25.71883,-100.19133,Hogar Reunión,UT_DENSIDAD,4.8,1,103.02394649122807,5,5,2,0
682,9.685383155,1,C,Hogar,90.7,13,0,25.66952,-100.20744,Hogar Reunión,UT_DENSIDAD,4.9,1,197.66088071428567,3,1,4,0
275,8.594113780952382,1,C,Hogar,95.3,13,6,25.73766,-100.16116,Hogar Reunión,UT_DENSIDAD,4.9,1,175.3900771622935,3,1,6,0
684,4.31225482631579,1,C,Base,116.07,13,0,25.70486,-100.15613,Oficinistas,UT_GAS_URBANA,4.8,0,89.8386422149123,3,3,2,0
694,12.631369610000002,1,C,Receso,78.48,13,0,25.67955,-100.24328,Oficinistas,UT_TRAFICO_PEATONAL,5.16,1,244.79398468992247,635862,3,5,2
272,15.649626455,1,C,Hogar,100.58,12,7,25.70058,-100.2018,Hogar Reunión,UT_DENSIDAD,4.9,1,319.38013173469386,174,0,2,0
702,9.44419429,1,C,Hogar,73.24,13,0,25.67344,-100.26084,Hogar Reunión,UT_DENSIDAD,4.9,1,192.73865897959183,635862,0,3,1
704,10.526550855,1,C,Base,107.23,13,0,25.68419,-100.22138,Hogar Reunión,UT_TRAFICO_VEHICULAR,4.8,1,219.30314281250003,635862,0,4,0
125,15.489055347368422,1,BC,Hogar,141.9,10,6,25.69017,-100.25164,Clásico,UT_TRAFICO_VEHICULAR,4.9,1,316.1031703544576,635862,1,2,0
279,11.413090261904763,1,C,Hogar,104.2,13,12,25.67484,-100.24412,Hogar Reunión,UT_DENSIDAD,4.9,1,232.9202094266278,635862,1,1,0
127,9.057733995,1,BC,Hogar,132.0,12,5,25.66474,-100.20913,Hogar Reunión,UT_GAS_URBANA,4.9,1,184.8517141836735,75426,2,3,0
706,8.723961131578948,1,C,Hogar,120.87,13,0,25.73785,-100.20217,Hogar Reunión,UT_DENSIDAD,4.9,1,178.0400230934479,1,1,0,0
129,8.63323472,1,BC,Base,83.99,13,10,25.6808,-100.24372,Hogar Reunión,UT_TRAFICO_VEHICULAR,4.8,1,179.85905666666667,635862,3,4,2
268,13.76895043,1,C,Base,121.2,13,9,25.69481,-100.23052,Clásico,UT_GAS_URBANA,4.8,1,286.85313395833333,635862,2,1,0
131,8.84194442,1,BC,Hogar,99.65,12,8,25.64911,-100.26649,Clásico,UT_DENSIDAD,4.9,1,180.44784530612245,635862,1,0,0
716,12.06793581,1,C,Hogar,121.21,13,0,25.7105,-100.21547,Hogar Reunión,UT_DENSIDAD,4.9,1,246.2844042857143,5,1,3,0
722,11.909651560000002,1,C,Base,118.3,13,0,25.69569,-100.24609,Oficinistas,UT_TRAFICO_VEHICULAR,4.8,1,248.1177408333334,635862,2,3,1
726,10.40252633157895,1,C,Hogar,113.96,13,0,25.72278,-100.15421,Hogar Reunión,UT_DENSIDAD,4.9,1,212.29645574650917,13,0,0,0
135,18.485059815000003,1,BC,Hogar,124.5,12,7,25.69272,-100.25433,Clásico,UT_DENSIDAD,4.9,1,377.2461186734694,635862,3,2,0
663,4.53157283,1,C,Base,115.76,13,0,25.71882,-100.16863,Hogar Reunión,UT_TRAFICO_VEHICULAR,4.8,0,94.40776729166669,5,0,1,0
639,11.339586405000002,1,C,Hogar,113.85,13,0,25.71143,-100.15224,Hogar Reunión,UT_DENSIDAD,4.9,1,231.42013071428576,13,1,6,0
642,6.061143275000001,1,C,Receso,88.39,13,0,25.70438,-100.22197,Oficinistas,UT_TRAFICO_PEATONAL,5.16,1,117.46401695736436,635862,2,2,1
299,9.069254255,1,C,Hogar,94.0,10,9,25.68426,-100.21374,Hogar Reunión,UT_TRAFICO_VEHICULAR,4.9,1,185.08682153061224,3,3,5,0
298,9.42234233809524,1,C,Peatonal,103.3,13,5,25.67933,-100.24593,Oficinistas,UT_TRAFICO_PEATONAL,4.2,1,224.34148424036283,635862,3,3,1
644,6.207546965000001,1,C,Base,105.69,13,0,25.7036,-100.15854,Hogar Reunión,UT_TRAFICO_PEATONAL,4.8,1,129.3238951041667,3,4,0,0
296,13.193209065,1,C,Hogar,86.0,13,5,25.66105,-100.25257,Clásico,UT_GAS_URBANA,4.9,1,269.24916459183675,635862,1,0,0
652,7.795995395,1,C,Base,113.23,14,0,25.65635,-100.26234,Clásico,UT_TRAFICO_VEHICULAR,4.8,1,162.4165707291667,635862,1,1,0
653,7.388870936842107,1,C,Hogar,112.09,13,0,25.69885,-100.12075,Clásico,UT_DENSIDAD,4.9,1,150.79328442534913,2,0,0,0
292,14.18741014,1,C,Hogar,114.0,13,11,25.72188,-100.20232,Hogar Reunión,UT_GAS_URBANA,4.9,1,289.5389824489796,5,1,0,0
291,13.456215200000004,1,C,Hogar,108.91,13,10,25.68419,-100.24388,Hogar Reunión,UT_DENSIDAD,4.9,1,274.61663673469394,635862,4,5,2
731,8.041870176190477,1,C,Base,117.97,15,0,25.67493,-100.20706,Hogar Reunión,UT_GAS_URBANA,4.8,1,167.5389620039683,3,2,3,2
289,7.437340716666666,1,C,Hogar,114.04,13,9,25.70314,-100.23122,Hogar Reunión,UT_GAS_URBANA,4.9,1,151.78246360544216,635862,0,0,0
288,8.482491630000002,1,D,Base,104.0,13,11,25.67442,-100.20493,Hogar Reunión,UT_TRAFICO_VEHICULAR,4.8,1,176.71857562500003,3,0,0,0
667,9.809004780952382,1,C,Hogar,122.19,13,0,25.73719,-100.15527,Hogar Reunión,UT_DENSIDAD,4.9,1,200.1837710398445,3,0,3,0
668,10.352029321052632,1,C,Hogar,93.08,13,0,25.72812,-100.18563,Hogar Reunión,UT_DENSIDAD,4.9,1,211.26590451127825,5,3,3,0
285,21.333842475000004,1,A,Hogar,130.46,13,7,25.64192,-100.26826,Clásico,UT_DENSIDAD,4.9,1,435.3845403061225,635862,1,0,0
671,11.011182995000002,1,C,Base,114.21,13,0,25.67863,-100.26725,Hogar Reunión,UT_TRAFICO_VEHICULAR,4.8,1,229.3996457291667,635862,1,0,2
674,10.060708445,1,C,Hogar,114.34,13,0,25.69528,-100.20643,Hogar Reunión,UT_DENSIDAD,4.9,1,205.32058051020408,3,2,4,0
281,18.279075,1,BC,Hogar,121.54,13,8,25.69659,-100.25507,Hogar Reunión,UT_DENSIDAD,4.9,1,373.0423469387754,635862,2,4,0
677,5.736803768421053,1,C,Hogar,110.81,13,0,25.68325,-100.23067,Parada Técnica,UT_DENSIDAD,4.9,1,117.07762792696026,635862,0,6,0
834,6.125297508333333,1,C,Hogar,101.33,13,0,25.70647,-100.22508,Hogar Reunión,UT_DENSIDAD,4.9,1,125.00607159863944,635862,2,3,1
792,6.94875571904762,1,C,Peatonal,87.25,0,0,25.67762,-100.25978,Oficinistas,UT_TRAFICO_PEATONAL,4.2,1,165.44656473922902,635862,2,2,1
164,10.665810245,1,CD,Base,18.72,12,9,25.73369,-100.19908,Hogar Reunión,UT_GAS_URBANA,4.8,1,222.20438010416663,5,0,1,0
231,11.6844924,1,CD,Hogar,116.5,13,9,25.70295,-100.25852,Hogar Reunión,UT_GAS_URBANA,4.9,1,238.4590285714285,635862,1,2,0
823,7.426054326666668,1,C,Hogar,108.66,0,0,25.66404,-100.23363,Hogar Reunión,UT_DENSIDAD,4.9,1,151.55212911564627,635862,4,7,0
824,5.729058723076923,1,C,Hogar,97.92,0,0,25.7371,-100.16613,Hogar Reunión,UT_DENSIDAD,4.9,1,116.91956577708004,3,2,3,0
182,15.74997888,1,BC,Hogar,111.9,13,5,25.68312,-100.2139,Hogar Reunión,UT_DENSIDAD,4.9,1,321.42814040816324,3,2,5,0
223,13.81838042,1,BC,Hogar,128.96,12,9,25.66976,-100.23605,Hogar Reunión,UT_GAS_URBANA,4.9,1,282.00776367346936,635862,2,4,0
828,5.28960079,1,C,Hogar,0.0,0,0,25.6678,-100.2209,Hogar Reunión,UT_DENSIDAD,4.9,1,107.9510365306122,635862,2,5,0
832,4.95920763,1,C,Hogar,66.04,0,0,25.66925,-100.237,Hogar Reunión,UT_DENSIDAD,4.9,1,101.2083189795918,635862,2,5,0
245,9.3259499,1,D,Hogar,116.0,10,8,25.73065,-100.18657,Hogar Reunión,UT_DENSIDAD,4.9,1,190.3255081632653,5,3,3,0
188,7.884062495,1,BC,Receso,95.3,13,7,25.68763,-100.24615,Parada Técnica,UT_GAS_URBANA,5.16,1,152.79190881782944,635862,3,2,1
191,4.544380538095238,1,CD,Receso,131.5,11,0,25.69273,-100.24576,Clásico,UT_GAS_URBANA,5.16,0,88.06939027316353,635862,3,1,1
847,2.5033903909090918,1,C,Hogar,100.4,13,0,25.71567,-100.1601,Hogar Reunión,UT_GAS_URBANA,4.9,0,51.08959981447124,13,2,4,0
193,10.237400810526315,1,CD,Hogar,95.54,10,9,25.73871,-100.18913,Hogar Reunión,UT_DENSIDAD,4.9,1,208.92654715359825,5,2,6,0
212,17.79098457,1,CD,Base,134.24,12,10,25.69344,-100.1831,Parada Técnica,UT_CARRETERA_GAS,4.8,1,370.645511875,174,1,1,0
211,13.200397647368424,1,C,Hogar,127.62,12,11,25.74447,-100.17476,Hogar Reunión,UT_DENSIDAD,4.9,1,269.3958703544576,3,3,2,0
199,7.170213142105264,1,CD,Base,113.0,11,11,25.72332,-100.19058,Hogar Reunión,UT_TRAFICO_VEHICULAR,4.8,1,149.37944046052633,5,4,2,0
873,1.8336358,1,C,Receso,58.12,0,0,25.69741,-100.13975,Parada Técnica,UT_TRAFICO_VEHICULAR,5.16,0,35.53557751937985,2843,0,0,0
254,9.77958648,1,C,Hogar,113.0,12,7,25.66872,-100.2344,Hogar Reunión,UT_GAS_URBANA,4.9,1,199.58339755102045,635862,2,6,0
735,13.004341535,1,C,Hogar,83.57,12,0,25.71611,-100.18296,Hogar Reunión,UT_DENSIDAD,4.9,1,265.3947252040816,5,4,0,0
746,6.772854205,1,C,Hogar,104.1,15,0,25.6867,-100.19352,Hogar Reunión,UT_DENSIDAD,4.9,1,138.2215143877551,3,3,2,0
