TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,DATASET,AVG_VENTA_TOTAL,num_locales_cercanos,reportes_cercanos,num_escuelas,densidad,Meta_venta,CENTRO_CERCANO,PERFORMANCE_CATEGORY,PERFORMANCE_LABEL
126,1,BC,Hogar,127.42,13,7,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,982752.906842105,0,0,0,5460.08,490000,4.82861739249481,2,Meeting_Expectations
681,1,C,Hogar,128.13,13,9,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,901997.1085,0,0,0,2757.9,490000,9.20134431024579,2,Meeting_Expectations
117,1,C,Base,87.62,11,11,25.71883,-100.19133,Hogar Reunión,UT_DENSIDAD,TRAIN,494514.943157895,0,0,0,5460.08,480000,7.29333169051169,1,Below_Expectations
682,1,C,Hogar,90.7,13,7,25.66952,-100.20744,Hogar Reunión,UT_DENSIDAD,TRAIN,968538.3155,0,0,0,5460.08,490000,2.59272254968968,2,Meeting_Expectations
275,1,C,Hogar,95.3,13,6,25.73766,-100.16116,Hogar Reunión,UT_DENSIDAD,TRAIN,859411.378095238,0,0,0,2757.9,490000,9.78550591087341,2,Meeting_Expectations
684,1,C,Base,116.07,13,9,25.70486,-100.15613,Oficinistas,UT_GAS_URBANA,TRAIN,431225.482631579,0,0,0,2757.9,480000,6.60846068159552,1,Below_Expectations
694,1,C,Receso,78.48,13,8,25.67955,-100.24328,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN,1263136.961,0,0,0,5460.08,516000,4.65616288367691,2,Meeting_Expectations
272,1,C,Hogar,100.58,12,7,25.70058,-100.2018,Hogar Reunión,UT_DENSIDAD,TRAIN,1564962.6455,0,0,0,5460.08,490000,5.41687896769748,3,Excellent
702,1,C,Hogar,73.24,13,5,25.67344,-100.26084,Hogar Reunión,UT_DENSIDAD,TRAIN,944419.429,0,0,0,5460.08,490000,2.85513411765901,2,Meeting_Expectations
704,1,C,Base,107.23,13,8,25.68419,-100.22138,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,1036776.12263158,0,5,0,5460.08,480000,4.73542253636863,2,Meeting_Expectations
125,1,BC,Hogar,141.9,10,6,25.69017,-100.25164,Clásico,UT_TRAFICO_VEHICULAR,TRAIN,1548905.53473684,0,1,0,5460.08,490000,4.85628466836296,3,Excellent
279,1,C,Hogar,104.2,13,12,25.67484,-100.24412,Hogar Reunión,UT_DENSIDAD,TRAIN,1107388.8325,0,0,0,5460.08,490000,4.30705880604238,2,Meeting_Expectations
127,1,BC,Hogar,132.0,12,5,25.66474,-100.20913,Hogar Reunión,UT_GAS_URBANA,TRAIN,905773.3995,0,0,0,5460.08,490000,2.39660143545828,2,Meeting_Expectations
706,1,C,Hogar,120.87,13,10,25.73785,-100.20217,Hogar Reunión,UT_DENSIDAD,TRAIN,872396.113157895,0,0,0,2757.9,490000,9.49792481362865,2,Meeting_Expectations
129,1,BC,Base,83.99,13,10,25.6808,-100.24372,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,863323.472,0,0,0,5460.08,480000,4.70069947786452,2,Meeting_Expectations
268,1,C,Base,121.2,13,9,25.69481,-100.23052,Clásico,UT_GAS_URBANA,TRAIN,1376895.043,0,0,0,5460.08,480000,6.22428927294262,3,Excellent
131,1,BC,Hogar,99.65,12,8,25.64911,-100.26649,Clásico,UT_DENSIDAD,TRAIN,884194.442,0,5,1,5460.08,490000,1.68320415639553,2,Meeting_Expectations
716,1,C,Hogar,121.21,13,10,25.7105,-100.21547,Hogar Reunión,UT_DENSIDAD,TRAIN,1187681.93578947,0,0,0,5460.08,490000,6.89829319863275,2,Meeting_Expectations
722,1,C,Base,118.3,13,7,25.69569,-100.24609,Oficinistas,UT_TRAFICO_VEHICULAR,TRAIN,1190965.156,0,1,0,5460.08,480000,5.68277001119645,2,Meeting_Expectations
726,1,C,Hogar,113.96,13,8,25.72278,-100.15421,Hogar Reunión,UT_DENSIDAD,TRAIN,1040252.63315789,0,0,0,2757.9,490000,8.47342760650749,2,Meeting_Expectations
135,1,BC,Hogar,124.5,12,7,25.69272,-100.25433,Clásico,UT_DENSIDAD,TRAIN,1813454.25111111,0,3,0,5460.08,490000,4.92819166870728,3,Excellent
